, r-value   Accuracy ,    TP    ,    FP    ,    TN    ,    FN    
    3     ,  52.70   ,  66852   ,  63145   ,   5456   ,   1749   
    3     ,  56.33   ,  67120   ,  58433   ,  10168   ,   1481   
    3     ,  55.10   ,  68483   ,  61486   ,   7115   ,   118    
    3     ,  56.32   ,  67140   ,  58467   ,  10134   ,   1461   
    3     ,  57.09   ,  68554   ,  58824   ,   9777   ,    47    
    3     ,  57.04   ,  68564   ,  58904   ,   9697   ,    37    
    3     ,  57.28   ,  68517   ,  58531   ,  10070   ,    84    
    3     ,  57.18   ,  68458   ,  58604   ,   9997   ,   143    
    3     ,  54.68   ,  65021   ,  58597   ,  10004   ,   3580   
    3     ,  55.88   ,  66949   ,  58885   ,   9716   ,   1652   
