, r-value   Accuracy ,    TP    ,    FP    ,    TN    ,    FN    
    3     ,  56.06   ,  67974   ,  59663   ,   8938   ,   627    
    3     ,  56.11   ,  68575   ,  60187   ,   8414   ,    26    
    3     ,  56.78   ,  68565   ,  59269   ,   9332   ,    36    
    3     ,  57.22   ,  68559   ,  58652   ,   9949   ,    42    
    5     ,  59.29   ,  65089   ,  52348   ,  16253   ,   3512   
    3     ,  54.08   ,  68513   ,  62914   ,   5687   ,    88    
    3     ,  56.02   ,  68591   ,  60328   ,   8273   ,    10    
    3     ,  53.85   ,  65602   ,  60326   ,   8275   ,   2999   
    3     ,  55.79   ,  68507   ,  60566   ,   8035   ,    94    
    3     ,  56.88   ,  68494   ,  59049   ,   9552   ,   107    
