, r-value   Accuracy ,    TP    ,    FP    ,    TN    ,    FN    
    2     ,  54.38   ,  68587   ,  62574   ,   6027   ,    14    
    3     ,  56.29   ,  66913   ,  58282   ,  10319   ,   1688   
    3     ,  57.37   ,  68376   ,  58264   ,  10337   ,   225    
    3     ,  54.97   ,  64803   ,  57984   ,  10617   ,   3798   
    3     ,  56.23   ,  66772   ,  58221   ,  10380   ,   1829   
    3     ,  56.81   ,  67382   ,  58042   ,  10559   ,   1219   
    2     ,  54.91   ,  68576   ,  61844   ,   6757   ,    25    
    3     ,  55.99   ,  66943   ,  58730   ,   9871   ,   1658   
    2     ,  54.20   ,  68589   ,  62824   ,   5777   ,    12    
    3     ,  53.68   ,  63656   ,  58603   ,   9998   ,   4945   
