, r-value   Accuracy ,    TP    ,    FP    ,    TN    ,    FN    
    6     ,  57.86   ,  53094   ,  44042   ,  13577   ,   4525   
    6     ,  58.34   ,  53539   ,  43923   ,  13696   ,   4080   
    6     ,  56.29   ,  51588   ,  44337   ,  13282   ,   6031   
    4     ,  56.57   ,  54584   ,  47016   ,  10603   ,   3035   
    6     ,  57.83   ,  52654   ,  43627   ,  13992   ,   4965   
    5     ,  57.93   ,  55006   ,  45867   ,  11752   ,   2613   
    5     ,  56.95   ,  53966   ,  45952   ,  11667   ,   3653   
    6     ,  56.97   ,  50743   ,  42714   ,  14905   ,   6876   
    6     ,  56.65   ,  51884   ,  44225   ,  13394   ,   5735   
    6     ,  58.23   ,  53332   ,  43844   ,  13775   ,   4287   
