, r-value   Accuracy ,    TP    ,    FP    ,    TN    ,    FN    
    5     ,  58.47   ,  55936   ,  46175   ,  11444   ,   1683   
    6     ,  57.44   ,  53201   ,  44622   ,  12997   ,   4418   
    6     ,  58.25   ,  54085   ,  44579   ,  13040   ,   3534   
    4     ,  57.72   ,  56878   ,  47979   ,   9640   ,   741    
    6     ,  57.88   ,  53222   ,  44136   ,  13483   ,   4397   
    7     ,  59.50   ,  50686   ,  39735   ,  17884   ,   6933   
    5     ,  56.81   ,  54101   ,  46258   ,  11361   ,   3518   
    6     ,  57.23   ,  52320   ,  43985   ,  13634   ,   5299   
    7     ,  59.52   ,  52115   ,  41143   ,  16476   ,   5504   
    6     ,  58.05   ,  53352   ,  44071   ,  13548   ,   4267   
