, r-value   Accuracy ,    TP    ,    FP    ,    TN    ,    FN    
    5     ,  57.11   ,  53098   ,  44907   ,  12712   ,   4521   
    6     ,  58.58   ,  51302   ,  41410   ,  16209   ,   6317   
    6     ,  58.05   ,  51115   ,  41834   ,  15785   ,   6504   
    4     ,  58.36   ,  56349   ,  46711   ,  10908   ,   1270   
    6     ,  59.01   ,  53980   ,  43600   ,  14019   ,   3639   
    5     ,  56.88   ,  53343   ,  45410   ,  12209   ,   4276   
    5     ,  57.74   ,  54117   ,  45198   ,  12421   ,   3502   
    4     ,  57.89   ,  55585   ,  46498   ,  11121   ,   2034   
    6     ,  58.11   ,  51166   ,  41825   ,  15794   ,   6453   
    6     ,  57.66   ,  51080   ,  42255   ,  15364   ,   6539   
