, r-value   Accuracy ,    TP    ,    FP    ,    TN    ,    FN    
    26    ,  49.97   ,    0     ,    23    ,  34268   ,  34291   
    25    ,  49.99   ,    0     ,    4     ,  34287   ,  34291   
    28    ,  50.00   ,    0     ,    0     ,  34291   ,  34291   
    1     ,  50.02   ,  34291   ,  34279   ,    12    ,    0     
    25    ,  49.99   ,    0     ,    7     ,  34284   ,  34291   
    23    ,  49.94   ,    0     ,    43    ,  34248   ,  34291   
    26    ,  50.00   ,    0     ,    0     ,  34291   ,  34291   
    25    ,  50.00   ,    0     ,    0     ,  34291   ,  34291   
    25    ,  50.00   ,    0     ,    0     ,  34291   ,  34291   
    25    ,  49.87   ,    0     ,    89    ,  34202   ,  34291   
