                Accuracy                ,                r-value                 ,             Benign-correct             ,           Benign-not-correct           ,              Bot-correct               ,            Bot-not-correct             ,        DDOS attack-HOIC-correct        ,      DDOS attack-HOIC-not-correct      ,     DDoS attacks-LOIC-HTTP-correct     ,   DDoS attacks-LOIC-HTTP-not-correct   ,     DoS attacks-GoldenEye-correct      ,   DoS attacks-GoldenEye-not-correct    ,        DoS attacks-Hulk-correct        ,      DoS attacks-Hulk-not-correct      ,    DoS attacks-SlowHTTPTest-correct    ,  DoS attacks-SlowHTTPTest-not-correct  ,     DoS attacks-Slowloris-correct      ,   DoS attacks-Slowloris-not-correct    ,         FTP-BruteForce-correct         ,       FTP-BruteForce-not-correct       ,         Infilteration-correct          ,       Infilteration-not-correct        ,         SSH-Bruteforce-correct         ,       SSH-Bruteforce-not-correct       
                 50.13                  ,                   2                    ,                  748                   ,                 273809                 ,                 28619                  ,                   0                    ,                 68601                  ,                   0                    ,                 57619                  ,                   0                    ,                  4150                  ,                   0                    ,                 46191                  ,                   0                    ,                 13989                  ,                   0                    ,                  1099                  ,                   0                    ,                 19336                  ,                   0                    ,                 16186                  ,                   7                    ,                 18758                  ,                   0                    
                 50.01                  ,                   2                    ,                   67                   ,                 274490                 ,                 28619                  ,                   0                    ,                 68601                  ,                   0                    ,                 57619                  ,                   0                    ,                  4150                  ,                   0                    ,                 46191                  ,                   0                    ,                 13989                  ,                   0                    ,                  1099                  ,                   0                    ,                 19336                  ,                   0                    ,                 16188                  ,                   5                    ,                 18758                  ,                   0                    
                 50.00                  ,                   2                    ,                   28                   ,                 274529                 ,                 28619                  ,                   0                    ,                 68601                  ,                   0                    ,                 57619                  ,                   0                    ,                  4150                  ,                   0                    ,                 46191                  ,                   0                    ,                 13989                  ,                   0                    ,                  1099                  ,                   0                    ,                 19336                  ,                   0                    ,                 16191                  ,                   2                    ,                 18758                  ,                   0                    
                 39.61                  ,                   3                    ,                  2510                  ,                 272047                 ,                 28619                  ,                   0                    ,                 68601                  ,                   0                    ,                 57603                  ,                   16                   ,                  4050                  ,                  100                   ,                 20183                  ,                 26008                  ,                   0                    ,                 13989                  ,                  1099                  ,                   0                    ,                   0                    ,                 19336                  ,                 16077                  ,                  116                   ,                 18755                  ,                   3                    
                 50.01                  ,                   2                    ,                   36                   ,                 274521                 ,                 28619                  ,                   0                    ,                 68601                  ,                   0                    ,                 57619                  ,                   0                    ,                  4150                  ,                   0                    ,                 46191                  ,                   0                    ,                 13989                  ,                   0                    ,                  1099                  ,                   0                    ,                 19336                  ,                   0                    ,                 16192                  ,                   1                    ,                 18758                  ,                   0                    
                 50.13                  ,                   2                    ,                  729                   ,                 273828                 ,                 28619                  ,                   0                    ,                 68601                  ,                   0                    ,                 57619                  ,                   0                    ,                  4150                  ,                   0                    ,                 46191                  ,                   0                    ,                 13989                  ,                   0                    ,                  1099                  ,                   0                    ,                 19336                  ,                   0                    ,                 16187                  ,                   6                    ,                 18758                  ,                   0                    
                 47.48                  ,                   3                    ,                  5831                  ,                 268726                 ,                 28619                  ,                   0                    ,                 61764                  ,                  6837                  ,                 57583                  ,                   36                   ,                  3423                  ,                  727                   ,                 34598                  ,                 11593                  ,                 13989                  ,                   0                    ,                  850                   ,                  249                   ,                 19336                  ,                   0                    ,                 15946                  ,                  247                   ,                 18758                  ,                   0                    
                 50.02                  ,                   2                    ,                  101                   ,                 274456                 ,                 28619                  ,                   0                    ,                 68601                  ,                   0                    ,                 57619                  ,                   0                    ,                  4144                  ,                   6                    ,                 46191                  ,                   0                    ,                 13989                  ,                   0                    ,                  1099                  ,                   0                    ,                 19336                  ,                   0                    ,                 16190                  ,                   3                    ,                 18758                  ,                   0                    
                 50.13                  ,                   2                    ,                  712                   ,                 273845                 ,                 28619                  ,                   0                    ,                 68601                  ,                   0                    ,                 57619                  ,                   0                    ,                  4150                  ,                   0                    ,                 46191                  ,                   0                    ,                 13989                  ,                   0                    ,                  1099                  ,                   0                    ,                 19336                  ,                   0                    ,                 16191                  ,                   2                    ,                 18758                  ,                   0                    
                 50.00                  ,                   2                    ,                   18                   ,                 274539                 ,                 28619                  ,                   0                    ,                 68601                  ,                   0                    ,                 57619                  ,                   0                    ,                  4150                  ,                   0                    ,                 46191                  ,                   0                    ,                 13989                  ,                   0                    ,                  1099                  ,                   0                    ,                 19336                  ,                   0                    ,                 16191                  ,                   2                    ,                 18758                  ,                   0                    
