                Accuracy                ,                r-value                 ,             Benign-correct             ,           Benign-not-correct           ,              Bot-correct               ,            Bot-not-correct             ,        DDOS attack-HOIC-correct        ,      DDOS attack-HOIC-not-correct      ,     DDoS attacks-LOIC-HTTP-correct     ,   DDoS attacks-LOIC-HTTP-not-correct   ,     DoS attacks-GoldenEye-correct      ,   DoS attacks-GoldenEye-not-correct    ,        DoS attacks-Hulk-correct        ,      DoS attacks-Hulk-not-correct      ,    DoS attacks-SlowHTTPTest-correct    ,  DoS attacks-SlowHTTPTest-not-correct  ,     DoS attacks-Slowloris-correct      ,   DoS attacks-Slowloris-not-correct    ,         FTP-BruteForce-correct         ,       FTP-BruteForce-not-correct       ,         Infilteration-correct          ,       Infilteration-not-correct        ,         SSH-Bruteforce-correct         ,       SSH-Bruteforce-not-correct       
                 50.00                  ,                   3                    ,                   20                   ,                 274537                 ,                 28619                  ,                   0                    ,                 68601                  ,                   0                    ,                 57619                  ,                   0                    ,                  4150                  ,                   0                    ,                 46191                  ,                   0                    ,                 13989                  ,                   0                    ,                  1099                  ,                   0                    ,                 19336                  ,                   0                    ,                 16193                  ,                   0                    ,                 18758                  ,                   0                    
                 50.00                  ,                   3                    ,                   31                   ,                 274526                 ,                 28619                  ,                   0                    ,                 68601                  ,                   0                    ,                 57619                  ,                   0                    ,                  4150                  ,                   0                    ,                 46191                  ,                   0                    ,                 13989                  ,                   0                    ,                  1099                  ,                   0                    ,                 19336                  ,                   0                    ,                 16190                  ,                   3                    ,                 18758                  ,                   0                    
                 50.01                  ,                   3                    ,                   51                   ,                 274506                 ,                 28619                  ,                   0                    ,                 68601                  ,                   0                    ,                 57619                  ,                   0                    ,                  4150                  ,                   0                    ,                 46191                  ,                   0                    ,                 13989                  ,                   0                    ,                  1099                  ,                   0                    ,                 19336                  ,                   0                    ,                 16190                  ,                   3                    ,                 18758                  ,                   0                    
                 42.39                  ,                   4                    ,                  6820                  ,                 267737                 ,                 28619                  ,                   0                    ,                 68575                  ,                   26                   ,                 57476                  ,                  143                   ,                  4129                  ,                   21                   ,                 31495                  ,                 14696                  ,                   0                    ,                 13989                  ,                  1087                  ,                   12                   ,                   0                    ,                 19336                  ,                 15799                  ,                  394                   ,                 18755                  ,                   3                    
                 50.00                  ,                   3                    ,                   13                   ,                 274544                 ,                 28619                  ,                   0                    ,                 68601                  ,                   0                    ,                 57619                  ,                   0                    ,                  4150                  ,                   0                    ,                 46191                  ,                   0                    ,                 13989                  ,                   0                    ,                  1099                  ,                   0                    ,                 19336                  ,                   0                    ,                 16193                  ,                   0                    ,                 18758                  ,                   0                    
                 50.00                  ,                   2                    ,                   3                    ,                 274554                 ,                 28619                  ,                   0                    ,                 68601                  ,                   0                    ,                 57619                  ,                   0                    ,                  4150                  ,                   0                    ,                 46191                  ,                   0                    ,                 13989                  ,                   0                    ,                  1099                  ,                   0                    ,                 19336                  ,                   0                    ,                 16193                  ,                   0                    ,                 18758                  ,                   0                    
                 50.00                  ,                   3                    ,                   28                   ,                 274529                 ,                 28619                  ,                   0                    ,                 68601                  ,                   0                    ,                 57619                  ,                   0                    ,                  4150                  ,                   0                    ,                 46191                  ,                   0                    ,                 13989                  ,                   0                    ,                  1099                  ,                   0                    ,                 19336                  ,                   0                    ,                 16190                  ,                   3                    ,                 18758                  ,                   0                    
                 50.74                  ,                   4                    ,                  4292                  ,                 270265                 ,                 28619                  ,                   0                    ,                 68578                  ,                   23                   ,                 57619                  ,                   0                    ,                  4149                  ,                   1                    ,                 46191                  ,                   0                    ,                 13989                  ,                   0                    ,                  1089                  ,                   10                   ,                 19336                  ,                   0                    ,                 16023                  ,                  170                   ,                 18758                  ,                   0                    
                 50.00                  ,                   2                    ,                   1                    ,                 274556                 ,                 28619                  ,                   0                    ,                 68601                  ,                   0                    ,                 57619                  ,                   0                    ,                  4150                  ,                   0                    ,                 46191                  ,                   0                    ,                 13989                  ,                   0                    ,                  1099                  ,                   0                    ,                 19336                  ,                   0                    ,                 16193                  ,                   0                    ,                 18758                  ,                   0                    
                 50.15                  ,                   4                    ,                  1043                  ,                 273514                 ,                 28619                  ,                   0                    ,                 68601                  ,                   0                    ,                 57611                  ,                   8                    ,                  4032                  ,                  118                   ,                 46191                  ,                   0                    ,                 13989                  ,                   0                    ,                  1098                  ,                   1                    ,                 19336                  ,                   0                    ,                 16113                  ,                   80                   ,                 18758                  ,                   0                    
