                Accuracy                ,                r-value                 ,             Benign-correct             ,           Benign-not-correct           ,              Bot-correct               ,            Bot-not-correct             ,        DDOS attack-HOIC-correct        ,      DDOS attack-HOIC-not-correct      ,     DDoS attacks-LOIC-HTTP-correct     ,   DDoS attacks-LOIC-HTTP-not-correct   ,     DoS attacks-GoldenEye-correct      ,   DoS attacks-GoldenEye-not-correct    ,        DoS attacks-Hulk-correct        ,      DoS attacks-Hulk-not-correct      ,    DoS attacks-SlowHTTPTest-correct    ,  DoS attacks-SlowHTTPTest-not-correct  ,     DoS attacks-Slowloris-correct      ,   DoS attacks-Slowloris-not-correct    ,         FTP-BruteForce-correct         ,       FTP-BruteForce-not-correct       ,         Infilteration-correct          ,       Infilteration-not-correct        ,         SSH-Bruteforce-correct         ,       SSH-Bruteforce-not-correct       
                 50.00                  ,                   1                    ,                   1                    ,                 274556                 ,                 28619                  ,                   0                    ,                 68601                  ,                   0                    ,                 57619                  ,                   0                    ,                  4150                  ,                   0                    ,                 46191                  ,                   0                    ,                 13989                  ,                   0                    ,                  1099                  ,                   0                    ,                 19336                  ,                   0                    ,                 16193                  ,                   0                    ,                 18758                  ,                   0                    
                 50.05                  ,                   2                    ,                  265                   ,                 274292                 ,                 28619                  ,                   0                    ,                 68601                  ,                   0                    ,                 57619                  ,                   0                    ,                  4150                  ,                   0                    ,                 46191                  ,                   0                    ,                 13989                  ,                   0                    ,                  1099                  ,                   0                    ,                 19336                  ,                   0                    ,                 16177                  ,                   16                   ,                 18758                  ,                   0                    
                 50.15                  ,                   2                    ,                  878                   ,                 273679                 ,                 28619                  ,                   0                    ,                 68601                  ,                   0                    ,                 57616                  ,                   3                    ,                  4122                  ,                   28                   ,                 46191                  ,                   0                    ,                 13989                  ,                   0                    ,                  1099                  ,                   0                    ,                 19336                  ,                   0                    ,                 16182                  ,                   11                   ,                 18758                  ,                   0                    
