                Accuracy                ,                r-value                 ,             Benign-correct             ,           Benign-not-correct           ,              Bot-correct               ,            Bot-not-correct             ,        DDOS attack-HOIC-correct        ,      DDOS attack-HOIC-not-correct      ,     DDoS attacks-LOIC-HTTP-correct     ,   DDoS attacks-LOIC-HTTP-not-correct   ,     DoS attacks-GoldenEye-correct      ,   DoS attacks-GoldenEye-not-correct    ,        DoS attacks-Hulk-correct        ,      DoS attacks-Hulk-not-correct      ,    DoS attacks-SlowHTTPTest-correct    ,  DoS attacks-SlowHTTPTest-not-correct  ,     DoS attacks-Slowloris-correct      ,   DoS attacks-Slowloris-not-correct    ,         FTP-BruteForce-correct         ,       FTP-BruteForce-not-correct       ,         Infilteration-correct          ,       Infilteration-not-correct        ,         SSH-Bruteforce-correct         ,       SSH-Bruteforce-not-correct       
                 43.97                  ,                   3                    ,                  216                   ,                 274341                 ,                 28619                  ,                   0                    ,                 68601                  ,                   0                    ,                 57619                  ,                   0                    ,                  4150                  ,                   0                    ,                 46191                  ,                   0                    ,                   0                    ,                 13989                  ,                  1099                  ,                   0                    ,                   0                    ,                 19336                  ,                 16182                  ,                   11                   ,                 18754                  ,                   4                    
                 43.98                  ,                   3                    ,                  278                   ,                 274279                 ,                 28619                  ,                   0                    ,                 68601                  ,                   0                    ,                 57619                  ,                   0                    ,                  4150                  ,                   0                    ,                 46191                  ,                   0                    ,                   0                    ,                 13989                  ,                  1099                  ,                   0                    ,                   0                    ,                 19336                  ,                 16169                  ,                   24                   ,                 18751                  ,                   7                    
                 50.15                  ,                   3                    ,                  890                   ,                 273667                 ,                 28619                  ,                   0                    ,                 68601                  ,                   0                    ,                 57619                  ,                   0                    ,                  4126                  ,                   24                   ,                 46191                  ,                   0                    ,                 13989                  ,                   0                    ,                  1099                  ,                   0                    ,                 19336                  ,                   0                    ,                 16173                  ,                   20                   ,                 18758                  ,                   0                    
                 42.74                  ,                   4                    ,                  3315                  ,                 271242                 ,                 28619                  ,                   0                    ,                 68601                  ,                   0                    ,                 57334                  ,                  285                   ,                  4100                  ,                   50                   ,                 46191                  ,                   0                    ,                   0                    ,                 13989                  ,                  1097                  ,                   2                    ,                   0                    ,                 19336                  ,                 15971                  ,                  222                   ,                  9470                  ,                  9288                  
                 50.04                  ,                   3                    ,                  210                   ,                 274347                 ,                 28619                  ,                   0                    ,                 68601                  ,                   0                    ,                 57619                  ,                   0                    ,                  4150                  ,                   0                    ,                 46191                  ,                   0                    ,                 13989                  ,                   0                    ,                  1099                  ,                   0                    ,                 19336                  ,                   0                    ,                 16190                  ,                   3                    ,                 18758                  ,                   0                    
                 50.00                  ,                   2                    ,                   3                    ,                 274554                 ,                 28619                  ,                   0                    ,                 68601                  ,                   0                    ,                 57619                  ,                   0                    ,                  4150                  ,                   0                    ,                 46191                  ,                   0                    ,                 13989                  ,                   0                    ,                  1099                  ,                   0                    ,                 19336                  ,                   0                    ,                 16193                  ,                   0                    ,                 18758                  ,                   0                    
                 50.03                  ,                   3                    ,                  169                   ,                 274388                 ,                 28619                  ,                   0                    ,                 68601                  ,                   0                    ,                 57619                  ,                   0                    ,                  4150                  ,                   0                    ,                 46191                  ,                   0                    ,                 13989                  ,                   0                    ,                  1099                  ,                   0                    ,                 19336                  ,                   0                    ,                 16181                  ,                   12                   ,                 18758                  ,                   0                    
                 50.15                  ,                   3                    ,                  857                   ,                 273700                 ,                 28619                  ,                   0                    ,                 68601                  ,                   0                    ,                 57619                  ,                   0                    ,                  4124                  ,                   26                   ,                 46191                  ,                   0                    ,                 13989                  ,                   0                    ,                  1099                  ,                   0                    ,                 19336                  ,                   0                    ,                 16178                  ,                   15                   ,                 18758                  ,                   0                    
                 50.00                  ,                   2                    ,                   4                    ,                 274553                 ,                 28619                  ,                   0                    ,                 68601                  ,                   0                    ,                 57619                  ,                   0                    ,                  4150                  ,                   0                    ,                 46191                  ,                   0                    ,                 13989                  ,                   0                    ,                  1099                  ,                   0                    ,                 19336                  ,                   0                    ,                 16193                  ,                   0                    ,                 18758                  ,                   0                    
                 50.17                  ,                   3                    ,                  922                   ,                 273635                 ,                 28619                  ,                   0                    ,                 68601                  ,                   0                    ,                 57619                  ,                   0                    ,                  4149                  ,                   1                    ,                 46191                  ,                   0                    ,                 13989                  ,                   0                    ,                  1098                  ,                   1                    ,                 19336                  ,                   0                    ,                 16181                  ,                   12                   ,                 18758                  ,                   0                    
