                Accuracy                ,                r-value                 ,             Benign-correct             ,           Benign-not-correct           ,              Bot-correct               ,            Bot-not-correct             ,        DDOS attack-HOIC-correct        ,      DDOS attack-HOIC-not-correct      ,     DDoS attacks-LOIC-HTTP-correct     ,   DDoS attacks-LOIC-HTTP-not-correct   ,     DoS attacks-GoldenEye-correct      ,   DoS attacks-GoldenEye-not-correct    ,        DoS attacks-Hulk-correct        ,      DoS attacks-Hulk-not-correct      ,    DoS attacks-SlowHTTPTest-correct    ,  DoS attacks-SlowHTTPTest-not-correct  ,     DoS attacks-Slowloris-correct      ,   DoS attacks-Slowloris-not-correct    ,         FTP-BruteForce-correct         ,       FTP-BruteForce-not-correct       ,         Infilteration-correct          ,       Infilteration-not-correct        ,         SSH-Bruteforce-correct         ,       SSH-Bruteforce-not-correct       
                 50.02                  ,                   3                    ,                  111                   ,                 274446                 ,                 28619                  ,                   0                    ,                 68601                  ,                   0                    ,                 57619                  ,                   0                    ,                  4150                  ,                   0                    ,                 46191                  ,                   0                    ,                 13989                  ,                   0                    ,                  1099                  ,                   0                    ,                 19336                  ,                   0                    ,                 16190                  ,                   3                    ,                 18758                  ,                   0                    
                 50.02                  ,                   3                    ,                   99                   ,                 274458                 ,                 28619                  ,                   0                    ,                 68601                  ,                   0                    ,                 57619                  ,                   0                    ,                  4150                  ,                   0                    ,                 46191                  ,                   0                    ,                 13989                  ,                   0                    ,                  1099                  ,                   0                    ,                 19336                  ,                   0                    ,                 16186                  ,                   7                    ,                 18758                  ,                   0                    
                 50.01                  ,                   3                    ,                   40                   ,                 274517                 ,                 28619                  ,                   0                    ,                 68601                  ,                   0                    ,                 57619                  ,                   0                    ,                  4150                  ,                   0                    ,                 46191                  ,                   0                    ,                 13989                  ,                   0                    ,                  1099                  ,                   0                    ,                 19336                  ,                   0                    ,                 16191                  ,                   2                    ,                 18758                  ,                   0                    
                 39.64                  ,                   4                    ,                  5041                  ,                 269516                 ,                 28619                  ,                   0                    ,                 64532                  ,                  4069                  ,                 57591                  ,                   28                   ,                  4149                  ,                   1                    ,                 22056                  ,                 24135                  ,                   0                    ,                 13989                  ,                  1087                  ,                   12                   ,                   0                    ,                 19336                  ,                 15864                  ,                  329                   ,                 18755                  ,                   3                    
                 50.00                  ,                   3                    ,                   26                   ,                 274531                 ,                 28619                  ,                   0                    ,                 68601                  ,                   0                    ,                 57619                  ,                   0                    ,                  4150                  ,                   0                    ,                 46191                  ,                   0                    ,                 13989                  ,                   0                    ,                  1099                  ,                   0                    ,                 19336                  ,                   0                    ,                 16193                  ,                   0                    ,                 18758                  ,                   0                    
                 50.00                  ,                   2                    ,                   3                    ,                 274554                 ,                 28619                  ,                   0                    ,                 68601                  ,                   0                    ,                 57619                  ,                   0                    ,                  4150                  ,                   0                    ,                 46191                  ,                   0                    ,                 13989                  ,                   0                    ,                  1099                  ,                   0                    ,                 19336                  ,                   0                    ,                 16193                  ,                   0                    ,                 18758                  ,                   0                    
                 50.01                  ,                   3                    ,                   63                   ,                 274494                 ,                 28619                  ,                   0                    ,                 68601                  ,                   0                    ,                 57619                  ,                   0                    ,                  4150                  ,                   0                    ,                 46191                  ,                   0                    ,                 13989                  ,                   0                    ,                  1099                  ,                   0                    ,                 19336                  ,                   0                    ,                 16190                  ,                   3                    ,                 18758                  ,                   0                    
                 50.02                  ,                   3                    ,                   96                   ,                 274461                 ,                 28619                  ,                   0                    ,                 68601                  ,                   0                    ,                 57619                  ,                   0                    ,                  4150                  ,                   0                    ,                 46191                  ,                   0                    ,                 13989                  ,                   0                    ,                  1099                  ,                   0                    ,                 19336                  ,                   0                    ,                 16190                  ,                   3                    ,                 18758                  ,                   0                    
                 50.00                  ,                   2                    ,                   1                    ,                 274556                 ,                 28619                  ,                   0                    ,                 68601                  ,                   0                    ,                 57619                  ,                   0                    ,                  4150                  ,                   0                    ,                 46191                  ,                   0                    ,                 13989                  ,                   0                    ,                  1099                  ,                   0                    ,                 19336                  ,                   0                    ,                 16193                  ,                   0                    ,                 18758                  ,                   0                    
                 50.15                  ,                   3                    ,                  817                   ,                 273740                 ,                 28619                  ,                   0                    ,                 68601                  ,                   0                    ,                 57619                  ,                   0                    ,                  4143                  ,                   7                    ,                 46191                  ,                   0                    ,                 13989                  ,                   0                    ,                  1098                  ,                   1                    ,                 19336                  ,                   0                    ,                 16189                  ,                   4                    ,                 18758                  ,                   0                    
