, r-value   Accuracy ,    TP    ,    FP    ,    TN    ,    FN    
    12    ,  45.65   ,    1     ,    3     ,    20    ,    22    
    11    ,  60.87   ,    13    ,    8     ,    15    ,    10    
    10    ,  54.35   ,    11    ,    9     ,    14    ,    12    
    12    ,  54.35   ,    3     ,    1     ,    22    ,    20    
    10    ,  45.65   ,    6     ,    8     ,    15    ,    17    
    13    ,  39.13   ,    0     ,    5     ,    18    ,    23    
    12    ,  76.09   ,    12    ,    0     ,    23    ,    11    
    11    ,  76.09   ,    16    ,    4     ,    19    ,    7     
    11    ,  63.04   ,    13    ,    7     ,    16    ,    10    
    14    ,  67.39   ,    12    ,    4     ,    19    ,    11    
