, r-value   Accuracy ,    TP    ,    FP    ,    TN    ,    FN    
    12    ,  60.87   ,    7     ,    2     ,    21    ,    16    
    11    ,  63.04   ,    13    ,    7     ,    16    ,    10    
    10    ,  54.35   ,    11    ,    9     ,    14    ,    12    
    11    ,  65.22   ,    8     ,    1     ,    22    ,    15    
    10    ,  50.00   ,    7     ,    7     ,    16    ,    16    
    13    ,  58.70   ,    9     ,    5     ,    18    ,    14    
    10    ,  76.09   ,    12    ,    0     ,    23    ,    11    
    10    ,  76.09   ,    16    ,    4     ,    19    ,    7     
    10    ,  60.87   ,    13    ,    8     ,    15    ,    10    
    13    ,  60.87   ,    11    ,    6     ,    17    ,    12    
