, r-value   Accuracy ,    TP    ,    FP    ,    TN    ,    FN    
    16    ,  62.50   ,    4     ,    2     ,    6     ,    4     
    19    ,  75.00   ,    4     ,    0     ,    8     ,    4     
    17    ,  62.50   ,    3     ,    1     ,    7     ,    5     
    17    ,  68.75   ,    5     ,    2     ,    6     ,    3     
    18    ,  43.75   ,    3     ,    4     ,    4     ,    5     
    19    ,  75.00   ,    4     ,    0     ,    8     ,    4     
    18    ,  62.50   ,    5     ,    3     ,    5     ,    3     
    17    ,  81.25   ,    7     ,    2     ,    6     ,    1     
    17    ,  68.75   ,    5     ,    2     ,    6     ,    3     
    17    ,  56.25   ,    3     ,    2     ,    6     ,    5     
