, r-value   Accuracy ,    TP    ,    FP    ,    TN    ,    FN    
    13    ,  73.77   ,    41    ,    12    ,    49    ,    20    
    13    ,  71.31   ,    41    ,    15    ,    46    ,    20    
    12    ,  68.85   ,    40    ,    17    ,    44    ,    21    
    12    ,  71.31   ,    37    ,    11    ,    50    ,    24    
    13    ,  70.49   ,    40    ,    15    ,    46    ,    21    
    12    ,  63.11   ,    35    ,    19    ,    42    ,    26    
    13    ,  74.59   ,    39    ,    9     ,    52    ,    22    
    13    ,  71.31   ,    41    ,    15    ,    46    ,    20    
    11    ,  69.67   ,    41    ,    17    ,    44    ,    20    
    13    ,  65.57   ,    35    ,    16    ,    45    ,    26    
