, r-value   Accuracy ,    TP    ,    FP    ,    TN    ,    FN    
    13    ,  73.77   ,    41    ,    12    ,    49    ,    20    
    13    ,  66.39   ,    36    ,    16    ,    45    ,    25    
    12    ,  69.67   ,    40    ,    16    ,    45    ,    21    
    12    ,  72.13   ,    38    ,    11    ,    50    ,    23    
    13    ,  70.49   ,    40    ,    15    ,    46    ,    21    
    14    ,  63.93   ,    35    ,    18    ,    43    ,    26    
    13    ,  68.03   ,    32    ,    10    ,    51    ,    29    
    13    ,  62.30   ,    32    ,    17    ,    44    ,    29    
    13    ,  70.49   ,    41    ,    16    ,    45    ,    20    
    13    ,  59.84   ,    28    ,    16    ,    45    ,    33    
