, r-value   Accuracy ,    TP    ,    FP    ,    TN    ,    FN    
    12    ,  45.65   ,    0     ,    2     ,    21    ,    23    
    11    ,  63.04   ,    13    ,    7     ,    16    ,    10    
    10    ,  54.35   ,    11    ,    9     ,    14    ,    12    
    12    ,  65.22   ,    8     ,    1     ,    22    ,    15    
    10    ,  47.83   ,    7     ,    8     ,    15    ,    16    
    13    ,  39.13   ,    0     ,    5     ,    18    ,    23    
    11    ,  76.09   ,    12    ,    0     ,    23    ,    11    
    11    ,  76.09   ,    16    ,    4     ,    19    ,    7     
    11    ,  60.87   ,    13    ,    8     ,    15    ,    10    
    13    ,  36.96   ,    0     ,    6     ,    17    ,    23    
