, r-value   Accuracy ,    TP    ,    FP    ,    TN    ,    FN    
    23    ,  72.35   ,   8655   ,   270    ,  18488   ,  10103   
    22    ,  70.26   ,   8372   ,   771    ,  17987   ,  10386   
    22    ,  72.91   ,   9287   ,   693    ,  18065   ,   9471   
    23    ,  72.98   ,   8840   ,   218    ,  18540   ,   9918   
    23    ,  74.31   ,   9363   ,   242    ,  18516   ,   9395   
    22    ,  73.67   ,   9359   ,   479    ,  18279   ,   9399   
    22    ,  71.35   ,   9328   ,   1317   ,  17441   ,   9430   
    22    ,  73.23   ,   9361   ,   647    ,  18111   ,   9397   
    22    ,  72.42   ,   9201   ,   790    ,  17968   ,   9557   
    22    ,  72.28   ,   8806   ,   446    ,  18312   ,   9952   
