, r-value   Accuracy ,    TP    ,    FP    ,    TN    ,    FN    
    23    ,  71.44   ,   8400   ,   357    ,  18401   ,  10358   
    22    ,  71.27   ,   9311   ,   1330   ,  17428   ,   9447   
    22    ,  71.63   ,   9361   ,   1248   ,  17510   ,   9397   
    23    ,  71.89   ,   8703   ,   489    ,  18269   ,  10055   
    23    ,  71.51   ,   8551   ,   480    ,  18278   ,  10207   
    23    ,  73.92   ,   9315   ,   340    ,  18418   ,   9443   
    22    ,  73.24   ,   9365   ,   645    ,  18113   ,   9393   
    22    ,  72.36   ,   9423   ,   1033   ,  17725   ,   9335   
    22    ,  71.73   ,   9427   ,   1273   ,  17485   ,   9331   
    22    ,  72.72   ,   9263   ,   741    ,  18017   ,   9495   
