 Accuracy ,    TP    ,    FP    ,    TN    ,    FN    
  100.00  ,  19336   ,    0     ,  19336   ,    0     
  100.00  ,  19336   ,    0     ,  19336   ,    0     
  100.00  ,  19336   ,    0     ,  19336   ,    0     
  99.99   ,  19336   ,    2     ,  19334   ,    0     
  100.00  ,  19336   ,    0     ,  19336   ,    0     
  100.00  ,  19336   ,    0     ,  19336   ,    0     
  100.00  ,  19336   ,    0     ,  19336   ,    0     
  99.99   ,  19336   ,    2     ,  19334   ,    0     
  100.00  ,  19336   ,    0     ,  19336   ,    0     
  100.00  ,  19336   ,    0     ,  19336   ,    0     
