           Accuracy           ,        Benign-correct        ,      Benign-not-correct      ,   DDOS attack-HOIC-correct   , DDOS attack-HOIC-not-correct , DDOS attack-LOIC-UDP-correct ,DDOS attack-LOIC-UDP-not-correct,DoS attacks-GoldenEye-correct ,DoS attacks-GoldenEye-not-correct,   DoS attacks-Hulk-correct   , DoS attacks-Hulk-not-correct ,DoS attacks-SlowHTTPTest-correct,DoS attacks-SlowHTTPTest-not-correct,DoS attacks-Slowloris-correct ,DoS attacks-Slowloris-not-correct,    FTP-BruteForce-correct    ,  FTP-BruteForce-not-correct  ,    SSH-Bruteforce-correct    ,  SSH-Bruteforce-not-correct  
            99.96             ,            172164            ,             135              ,            68601             ,              0               ,             172              ,              1               ,             4150             ,              0               ,            46191             ,              0               ,            13989             ,              0               ,             1091             ,              8               ,            19334             ,              2               ,            18755             ,              3               
            99.96             ,            172172            ,             127              ,            68601             ,              0               ,             173              ,              0               ,             4150             ,              0               ,            46191             ,              0               ,            13989             ,              0               ,             1092             ,              7               ,            19336             ,              0               ,            18758             ,              0               
            99.95             ,            172150            ,             149              ,            68601             ,              0               ,             173              ,              0               ,             4150             ,              0               ,            46191             ,              0               ,            13989             ,              0               ,             1083             ,              16              ,            19336             ,              0               ,            18757             ,              1               
            99.95             ,            172150            ,             149              ,            68601             ,              0               ,             173              ,              0               ,             4150             ,              0               ,            46190             ,              1               ,            13989             ,              0               ,             1088             ,              11              ,            19336             ,              0               ,            18758             ,              0               
            99.96             ,            172166            ,             133              ,            68601             ,              0               ,             173              ,              0               ,             4149             ,              1               ,            46191             ,              0               ,            13989             ,              0               ,             1090             ,              9               ,            19336             ,              0               ,            18756             ,              2               
