, r-value   Accuracy ,    TP    ,    FP    ,    TN    ,    FN    
    13    ,  68.40   ,   2745   ,   1218   ,   2932   ,   1405   
    12    ,  68.59   ,   2802   ,   1259   ,   2891   ,   1348   
    14    ,  66.47   ,   2515   ,   1148   ,   3002   ,   1635   
    14    ,  67.02   ,   2538   ,   1125   ,   3025   ,   1612   
    16    ,  62.39   ,   1821   ,   793    ,   3357   ,   2329   
    11    ,  67.11   ,   2972   ,   1552   ,   2598   ,   1178   
    12    ,  66.18   ,   2781   ,   1438   ,   2712   ,   1369   
    13    ,  66.04   ,   2529   ,   1198   ,   2952   ,   1621   
    11    ,  65.53   ,   2918   ,   1629   ,   2521   ,   1232   
    14    ,  66.40   ,   2484   ,   1123   ,   3027   ,   1666   
