, r-value   Accuracy ,    TP    ,    FP    ,    TN    ,    FN    
    14    ,  69.43   ,   613    ,   186    ,   913    ,   486    
    19    ,  70.47   ,   463    ,    13    ,   1086   ,   636    
    18    ,  76.07   ,   596    ,    23    ,   1076   ,   503    
    14    ,  72.98   ,   703    ,   198    ,   901    ,   396    
    15    ,  73.07   ,   642    ,   135    ,   964    ,   457    
    16    ,  76.57   ,   641    ,    57    ,   1042   ,   458    
    14    ,  73.20   ,   646    ,   136    ,   963    ,   453    
    20    ,  70.02   ,   447    ,    7     ,   1092   ,   652    
    14    ,  75.48   ,   711    ,   151    ,   948    ,   388    
    15    ,  74.11   ,   674    ,   144    ,   955    ,   425    
