, r-value   Accuracy ,    TP    ,    FP    ,    TN    ,    FN    
    15    ,  72.25   ,   667    ,   178    ,   921    ,   432    
    16    ,  73.25   ,   626    ,   115    ,   984    ,   473    
    18    ,  70.34   ,   482    ,    35    ,   1064   ,   617    
    15    ,  73.57   ,   704    ,   186    ,   913    ,   395    
    15    ,  70.88   ,   652    ,   193    ,   906    ,   447    
    16    ,  77.48   ,   698    ,    94    ,   1005   ,   401    
    15    ,  73.34   ,   647    ,   134    ,   965    ,   452    
    17    ,  75.52   ,   602    ,    41    ,   1058   ,   497    
    14    ,  71.34   ,   709    ,   240    ,   859    ,   390    
    17    ,  75.66   ,   654    ,    90    ,   1009   ,   445    
