, r-value   Accuracy ,    TP    ,    FP    ,    TN    ,    FN    
    15    ,  70.38   ,   658    ,   210    ,   889    ,   441    
    16    ,  74.52   ,   694    ,   155    ,   944    ,   405    
    18    ,  70.56   ,   491    ,    39    ,   1060   ,   608    
    15    ,  70.25   ,   658    ,   213    ,   886    ,   441    
    17    ,  74.02   ,   649    ,   121    ,   978    ,   450    
    16    ,  74.34   ,   641    ,   106    ,   993    ,   458    
    16    ,  73.79   ,   635    ,   112    ,   987    ,   464    
    17    ,  68.33   ,   466    ,    63    ,   1036   ,   633    
    17    ,  77.25   ,   703    ,   104    ,   995    ,   396    
    17    ,  70.29   ,   510    ,    64    ,   1035   ,   589    
