, r-value   Accuracy ,    TP    ,    FP    ,    TN    ,    FN    
    13    ,  67.18   ,   2492   ,   1066   ,   3084   ,   1658   
    11    ,  67.39   ,   2789   ,   1346   ,   2804   ,   1361   
    14    ,  69.07   ,   2423   ,   840    ,   3310   ,   1727   
    14    ,  70.95   ,   2468   ,   729    ,   3421   ,   1682   
    12    ,  67.61   ,   2633   ,   1171   ,   2979   ,   1517   
    11    ,  68.73   ,   2862   ,   1307   ,   2843   ,   1288   
    12    ,  67.76   ,   2681   ,   1207   ,   2943   ,   1469   
    11    ,  67.59   ,   2773   ,   1313   ,   2837   ,   1377   
    11    ,  67.23   ,   2749   ,   1319   ,   2831   ,   1401   
    13    ,  67.24   ,   2458   ,   1027   ,   3123   ,   1692   
