, r-value   Accuracy ,    TP    ,    FP    ,    TN    ,    FN    
    12    ,  65.87   ,   2607   ,   1290   ,   2860   ,   1543   
    12    ,  68.76   ,   2809   ,   1252   ,   2898   ,   1341   
    14    ,  66.83   ,   2490   ,   1093   ,   3057   ,   1660   
    14    ,  67.53   ,   2514   ,   1059   ,   3091   ,   1636   
    16    ,  69.99   ,   2278   ,   619    ,   3531   ,   1872   
    11    ,  65.86   ,   2966   ,   1650   ,   2500   ,   1184   
    12    ,  69.04   ,   2860   ,   1280   ,   2870   ,   1290   
    13    ,  66.90   ,   2564   ,   1161   ,   2989   ,   1586   
    11    ,  62.72   ,   2873   ,   1817   ,   2333   ,   1277   
    14    ,  67.39   ,   2519   ,   1076   ,   3074   ,   1631   
