           Accuracy           ,           r-value            ,        Benign-correct        ,      Benign-not-correct      ,    FTP-BruteForce-correct    ,  FTP-BruteForce-not-correct  ,    SSH-Bruteforce-correct    ,  SSH-Bruteforce-not-correct  
            67.06                           10              ,            12997             ,            25097             ,            19336             ,              0               ,            18758             ,              0               
            60.28                           9               ,             7835             ,            30259             ,            19336             ,              0               ,            18758             ,              0               
            61.85                           10              ,             9028             ,            29066             ,            19336             ,              0               ,            18758             ,              0               
            69.35                           11              ,            14745             ,            23349             ,            19336             ,              0               ,            18758             ,              0               
            65.24                           10              ,            11610             ,            26484             ,            19336             ,              0               ,            18758             ,              0               
            56.67                           9               ,             5079             ,            33015             ,            19336             ,              0               ,            18758             ,              0               
            62.31                           10              ,             9380             ,            28714             ,            19336             ,              0               ,            18758             ,              0               
            69.35                           11              ,            14742             ,            23352             ,            19336             ,              0               ,            18758             ,              0               
            69.53                           11              ,            14878             ,            23216             ,            19336             ,              0               ,            18758             ,              0               
            67.32                           10              ,            13199             ,            24895             ,            19336             ,              0               ,            18758             ,              0               
