           Accuracy           ,           r-value            ,        Benign-correct        ,      Benign-not-correct      ,    FTP-BruteForce-correct    ,  FTP-BruteForce-not-correct  ,    SSH-Bruteforce-correct    ,  SSH-Bruteforce-not-correct  
            78.74                           16              ,            31212             ,             6882             ,            19336             ,              0               ,             9442             ,             9316             
            78.84                           16              ,            31248             ,             6846             ,            19336             ,              0               ,             9484             ,             9274             
            78.53                           16              ,            31079             ,             7015             ,            19336             ,              0               ,             9412             ,             9346             
            78.71                           16              ,            31376             ,             6718             ,            19336             ,              0               ,             9252             ,             9506             
            78.57                           16              ,            31229             ,             6865             ,            19336             ,              0               ,             9299             ,             9459             
            78.96                           16              ,            31291             ,             6803             ,            19336             ,              0               ,             9529             ,             9229             
            78.43                           16              ,            31108             ,             6986             ,            19336             ,              0               ,             9308             ,             9450             
            78.69                           16              ,            31281             ,             6813             ,            19336             ,              0               ,             9332             ,             9426             
            78.66                           16              ,            31129             ,             6965             ,            19336             ,              0               ,             9463             ,             9295             
            78.53                           16              ,            31174             ,             6920             ,            19336             ,              0               ,             9324             ,             9434             
