           Accuracy           ,           r-value            ,        Benign-correct        ,      Benign-not-correct      ,    FTP-BruteForce-correct    ,  FTP-BruteForce-not-correct  ,    SSH-Bruteforce-correct    ,  SSH-Bruteforce-not-correct  
            82.05                           19              ,            33733             ,             4361             ,            19336             ,              0               ,             9442             ,             9316             
            82.16                           19              ,            33778             ,             4316             ,            19336             ,              0               ,             9484             ,             9274             
            82.14                           19              ,            33835             ,             4259             ,            19336             ,              0               ,             9412             ,             9346             
            81.55                           19              ,            33543             ,             4551             ,            19335             ,              1               ,             9252             ,             9506             
            81.97                           19              ,            33821             ,             4273             ,            19335             ,              1               ,             9299             ,             9459             
            82.50                           19              ,            33993             ,             4101             ,            19333             ,              3               ,             9529             ,             9229             
            81.67                           19              ,            33579             ,             4515             ,            19334             ,              2               ,             9308             ,             9450             
            81.19                           19              ,            33191             ,             4903             ,            19336             ,              0               ,             9332             ,             9426             
            82.42                           19              ,            33997             ,             4097             ,            19335             ,              1               ,             9463             ,             9295             
            82.14                           19              ,            33934             ,             4160             ,            19325             ,              11              ,             9324             ,             9434             
