           Accuracy           ,           r-value            ,        Benign-correct        ,      Benign-not-correct      ,    FTP-BruteForce-correct    ,  FTP-BruteForce-not-correct  ,    SSH-Bruteforce-correct    ,  SSH-Bruteforce-not-correct  
            81.64                           19              ,            33568             ,             4526             ,            19336             ,              0               ,             9293             ,             9465             
            81.33                           19              ,            33249             ,             4845             ,            19335             ,              1               ,             9380             ,             9378             
            81.33                           19              ,            33213             ,             4881             ,            19336             ,              0               ,             9411             ,             9347             
            81.54                           19              ,            33442             ,             4652             ,            19335             ,              1               ,             9343             ,             9415             
            82.05                           19              ,            33736             ,             4358             ,            19336             ,              0               ,             9437             ,             9321             
            81.55                           19              ,            33460             ,             4634             ,            19336             ,              0               ,             9338             ,             9420             
