, r-value   Accuracy ,    TP    ,    FP    ,    TN    ,    FN    
    22    ,  69.64   ,   7853   ,   485    ,  18273   ,  10905   
    21    ,  72.60   ,   9350   ,   870    ,  17888   ,   9408   
    21    ,  72.06   ,   9304   ,   1029   ,  17729   ,   9454   
    21    ,  71.26   ,   9369   ,   1392   ,  17366   ,   9389   
    21    ,  71.77   ,   9374   ,   1205   ,  17553   ,   9384   
    21    ,  72.50   ,   9348   ,   907    ,  17851   ,   9410   
    20    ,  68.60   ,   9378   ,   2401   ,  16357   ,   9380   
    21    ,  69.71   ,   9416   ,   2021   ,  16737   ,   9342   
    21    ,  69.33   ,   9368   ,   2115   ,  16643   ,   9390   
    22    ,  72.98   ,   9245   ,   623    ,  18135   ,   9513   
