, r-value   Accuracy ,    TP    ,    FP    ,    TN    ,    FN    
    16    ,  99.99   ,  19336   ,    4     ,  19332   ,    0     
    16    ,  99.98   ,  19336   ,    7     ,  19329   ,    0     
    16    ,  99.97   ,  19336   ,    10    ,  19326   ,    0     
    16    ,  99.96   ,  19336   ,    16    ,  19320   ,    0     
    16    ,  99.97   ,  19336   ,    12    ,  19324   ,    0     
    16    ,  99.98   ,  19336   ,    8     ,  19328   ,    0     
    16    ,  99.98   ,  19336   ,    8     ,  19328   ,    0     
    16    ,  99.95   ,  19336   ,    18    ,  19318   ,    0     
    16    ,  99.97   ,  19336   ,    11    ,  19325   ,    0     
    16    ,  99.98   ,  19336   ,    7     ,  19329   ,    0     
