, r-value   Accuracy ,    TP    ,    FP    ,    TN    ,    FN    
    20    ,  72.74   ,   9400   ,   869    ,  17889   ,   9358   
    21    ,  73.40   ,   9276   ,   498    ,  18260   ,   9482   
    21    ,  70.49   ,   9248   ,   1561   ,  17197   ,   9510   
    21    ,  73.50   ,   9356   ,   538    ,  18220   ,   9402   
    20    ,  69.77   ,   9382   ,   1965   ,  16793   ,   9376   
    21    ,  72.33   ,   9286   ,   907    ,  17851   ,   9472   
    20    ,  71.01   ,   9367   ,   1484   ,  17274   ,   9391   
    22    ,  72.54   ,   9308   ,   851    ,  17907   ,   9450   
    21    ,  73.35   ,   9283   ,   522    ,  18236   ,   9475   
    20    ,  71.00   ,   9388   ,   1511   ,  17247   ,   9370   
