, r-value   Accuracy ,    TP    ,    FP    ,    TN    ,    FN    
    20    ,  71.80   ,   9358   ,   1179   ,  17579   ,   9400   
    20    ,  71.44   ,   9308   ,   1264   ,  17494   ,   9450   
    21    ,  73.33   ,   9081   ,   329    ,  18429   ,   9677   
    21    ,  72.95   ,   8945   ,   335    ,  18423   ,   9813   
    20    ,  71.54   ,   9372   ,   1291   ,  17467   ,   9386   
    20    ,  71.88   ,   9353   ,   1144   ,  17614   ,   9405   
    20    ,  73.17   ,   9369   ,   675    ,  18083   ,   9389   
    21    ,  69.84   ,   8817   ,   1374   ,  17384   ,   9941   
    20    ,  72.86   ,   9354   ,   778    ,  17980   ,   9404   
    20    ,  73.12   ,   9380   ,   706    ,  18052   ,   9378   
