, r-value   Accuracy ,    TP    ,    FP    ,    TN    ,    FN    
    22    ,  73.61   ,   9390   ,   533    ,  18225   ,   9368   
    21    ,  69.85   ,   9337   ,   1890   ,  16868   ,   9421   
    21    ,  71.90   ,   9305   ,   1088   ,  17670   ,   9453   
    21    ,  71.66   ,   9364   ,   1237   ,  17521   ,   9394   
    21    ,  72.79   ,   9232   ,   681    ,  18077   ,   9526   
    21    ,  72.25   ,   9310   ,   964    ,  17794   ,   9448   
    20    ,  69.46   ,   9371   ,   2070   ,  16688   ,   9387   
    21    ,  73.21   ,   9416   ,   710    ,  18048   ,   9342   
    21    ,  71.02   ,   9359   ,   1472   ,  17286   ,   9399   
    22    ,  73.78   ,   9242   ,   320    ,  18438   ,   9516   
