           Accuracy           ,        Benign-correct        ,      Benign-not-correct      ,DoS attacks-GoldenEye-correct ,DoS attacks-GoldenEye-not-correct,DoS attacks-Slowloris-correct ,DoS attacks-Slowloris-not-correct,    FTP-BruteForce-correct    ,  FTP-BruteForce-not-correct  ,    SSH-Bruteforce-correct    ,  SSH-Bruteforce-not-correct  
            99.95             ,            43312             ,              32              ,             4150             ,              0               ,             1088             ,              11              ,            19336             ,              0               ,            18758             ,              0               
            99.69             ,            43200             ,             144              ,             4075             ,              75              ,             1046             ,              53              ,            19336             ,              0               ,            18758             ,              0               
            99.99             ,            43338             ,              6               ,             4150             ,              0               ,             1094             ,              5               ,            19336             ,              0               ,            18758             ,              0               
            99.97             ,            43340             ,              4               ,             4150             ,              0               ,             1085             ,              14              ,            19336             ,              0               ,            18754             ,              4               
