, r-value   Accuracy ,    TP    ,    FP    ,    TN    ,    FN    
    2     ,  50.19   ,  15469   ,  15408   ,   785    ,   724    
    2     ,  49.96   ,  15682   ,  15694   ,   499    ,   511    
