, r-value   Accuracy ,    TP    ,    FP    ,    TN    ,    FN    
    2     ,  49.69   ,  15826   ,  15926   ,   267    ,   367    
    2     ,  50.18   ,  15562   ,  15504   ,   689    ,   631    
