, r-value   Accuracy ,    TP    ,    FP    ,    TN    ,    FN    
    2     ,  50.07   ,  15255   ,  15232   ,   961    ,   938    
    2     ,  50.35   ,  15352   ,  15239   ,   954    ,   841    
