 Accuracy ,    TP    ,    FP    ,    TN    ,    FN    
  58.06   ,   5525   ,   2914   ,  13279   ,  10668   
  57.89   ,   5843   ,   3289   ,  12904   ,  10350   
  57.83   ,   5404   ,   2869   ,  13324   ,  10789   
