           Accuracy           ,           r-value            ,        Benign-correct        ,      Benign-not-correct      ,    FTP-BruteForce-correct    ,  FTP-BruteForce-not-correct  ,    SSH-Bruteforce-correct    ,  SSH-Bruteforce-not-correct  
            84.45                           12              ,            35763             ,             2331             ,            19336             ,              0               ,             9243             ,             9515             
            84.39                           12              ,            35618             ,             2476             ,            19336             ,              0               ,             9344             ,             9414             
            84.70                           12              ,            35825             ,             2269             ,            19336             ,              0               ,             9372             ,             9386             
            84.41                           12              ,            35753             ,             2341             ,            19336             ,              0               ,             9219             ,             9539             
            84.52                           12              ,            35659             ,             2435             ,            19336             ,              0               ,             9397             ,             9361             
            84.60                           12              ,            35718             ,             2376             ,            19336             ,              0               ,             9402             ,             9356             
            84.50                           12              ,            35778             ,             2316             ,            19336             ,              0               ,             9266             ,             9492             
            84.51                           12              ,            35679             ,             2415             ,            19336             ,              0               ,             9372             ,             9386             
            84.38                           12              ,            35705             ,             2389             ,            19336             ,              0               ,             9250             ,             9508             
            84.64                           12              ,            35748             ,             2346             ,            19336             ,              0               ,             9400             ,             9358             
