           Accuracy           ,           r-value            ,        Benign-correct        ,      Benign-not-correct      ,    FTP-BruteForce-correct    ,  FTP-BruteForce-not-correct  ,    SSH-Bruteforce-correct    ,  SSH-Bruteforce-not-correct  
            88.54                           11              ,            32214             ,             5880             ,            18354             ,             982              ,            16890             ,             1868             
            88.25                           11              ,            32137             ,             5957             ,            18184             ,             1152             ,            16912             ,             1846             
            88.39                           11              ,            32260             ,             5834             ,            18248             ,             1088             ,            16831             ,             1927             
            88.18                           11              ,            32355             ,             5739             ,            18098             ,             1238             ,            16727             ,             2031             
            89.10                           11              ,            32260             ,             5834             ,            18546             ,             790              ,            17081             ,             1677             
            88.07                           11              ,            32211             ,             5883             ,            18120             ,             1216             ,            16765             ,             1993             
            88.74                           11              ,            32421             ,             5673             ,            18376             ,             960              ,            16814             ,             1944             
            88.70                           11              ,            32152             ,             5942             ,            18504             ,             832              ,            16921             ,             1837             
            89.23                           11              ,            32398             ,             5696             ,            18504             ,             832              ,            17083             ,             1675             
            88.61                           11              ,            32323             ,             5771             ,            18184             ,             1152             ,            17002             ,             1756             
