           Accuracy           ,        Benign-correct        ,      Benign-not-correct      ,    FTP-BruteForce-correct    ,  FTP-BruteForce-not-correct  ,    SSH-Bruteforce-correct    ,  SSH-Bruteforce-not-correct  
            100.00            ,            38094             ,              0               ,            19335             ,              1               ,            18756             ,              2               
            99.92             ,            38047             ,              47              ,            19336             ,              0               ,            18745             ,              13              
            99.99             ,            38090             ,              4               ,            19335             ,              1               ,            18757             ,              1               
            99.99             ,            38094             ,              0               ,            19335             ,              1               ,            18754             ,              4               
            100.00            ,            38093             ,              1               ,            19336             ,              0               ,            18757             ,              1               
            99.98             ,            38078             ,              16              ,            19336             ,              0               ,            18756             ,              2               
            100.00            ,            38093             ,              1               ,            19335             ,              1               ,            18757             ,              1               
            100.00            ,            38093             ,              1               ,            19336             ,              0               ,            18758             ,              0               
            99.94             ,            38048             ,              46              ,            19336             ,              0               ,            18758             ,              0               
            100.00            ,            38093             ,              1               ,            19335             ,              1               ,            18757             ,              1               
